

Hipparcos Constellation Membership

Hipparcos Number,Constellation
HIP 30583,CMa
HIP 30591,Pup
HIP 30630,Gem
HIP 30651,Lyn
HIP 30679,Lyn
HIP 30700,Mon
HIP 30711,
HIP 30717,Ori
HIP 30720,Ori
HIP 30757,Gem
HIP 30769,Gem
HIP 30772,Mon
HIP 30788,CMa
HIP 30827,Aur
HIP 30840,CMa
HIP 30860,
HIP 30867,Mon
HIP 30883,Gem
HIP 30905,
HIP 30932,Pic
HIP 30972,Aur
HIP 31017,CMa
HIP 31019,Mon
HIP 31039,Lyn
HIP 31068,Pic
HIP 31086,CMa
HIP 31099,Col
HIP 31105,Gem
HIP 31125,CMa
HIP 31137,Pic
HIP 31158,Gem
HIP 31159,Mon
HIP 31173,Aur
HIP 31205,CMa
HIP 31216,Mon
HIP 31359,Lyn
HIP 31385,Mon
HIP 31407,Car
HIP 31416,CMa
HIP 31434,Aur
HIP 31525,Gem
HIP 31564,CMa
HIP 31592,CMa
HIP 31646,Mon
HIP 31665,Lyn
HIP 31676,Lyn
HIP 31681,Gem
HIP 31685,Pup
HIP 31700,CMa
HIP 31711,Pic
HIP 31737,Aur
HIP 31766,Mon
HIP 31771,Aur
HIP 31789,Aur
HIP 31832,Aur
HIP 31852,Aur
HIP 31895,
HIP 31897,Men
HIP 31978,Mon
HIP 32019,Gem
HIP 32104,Gem
HIP 32144,CMa
HIP 32173,Aur
HIP 32246,Gem
HIP 32249,Gem
HIP 32292,CMa
HIP 32311,Gem
HIP 32322,
HIP 32349,CMa
HIP 32362,Gem
HIP 32366,
HIP 32385,CMa
HIP 32404,Gem
HIP 32434,Pup
HIP 32438,Lyn
HIP 32439,
HIP 32463,Mon
HIP 32480,Aur
HIP 32489,Lyn
HIP 32492,CMa
HIP 32504,CMa
HIP 32531,Car
HIP 32533,Mon
HIP 32537,Pup
HIP 32562,Aur
HIP 32578,Mon
HIP 32607,Pic
HIP 32682,Mon
HIP 32740,Gem
HIP 32753,Gem
HIP 32759,CMa
HIP 32761,Car
HIP 32765,
HIP 32768,Pup
HIP 32810,CMa
HIP 32814,Gem
HIP 32838,Mon
HIP 32844,Aur
HIP 32864,Cam
HIP 32912,Vol
HIP 32916,
HIP 32921,Gem
HIP 32984,
HIP 33018,Gem
HIP 33040,CMa
HIP 33041,Aur
HIP 33048,Lyn
HIP 33064,Aur
HIP 33092,CMa
HIP 33094,
HIP 33104,Cam
HIP 33133,Aur
HIP 33152,CMa
HIP 33160,CMa
HIP 33165,CMa
HIP 33189,Pup
HIP 33202,Gem
HIP 33248,CMa
HIP 33269,Aur
HIP 33277,Gem
HIP 33302,CMa
HIP 33345,CMa
HIP 33347,CMa
HIP 33377,Aur
HIP 33384,Men
HIP 33436,Mon
HIP 33447,CMa
HIP 33449,Lyn
HIP 33451,
HIP 33485,Lyn
HIP 33558,Pup
HIP 33579,CMa
HIP 33595,Gem
HIP 33614,Aur
HIP 33643,Aur
HIP 33650,Gem
HIP 33682,
HIP 33690,
HIP 33715,Gem
HIP 33719,
HIP 33721,CMa
HIP 33779,Car
HIP 33804,CMa
HIP 33817,
HIP 33856,CMa
HIP 33864,Pup
HIP 33868,CMa
HIP 33927,Gem
HIP 33929,Gem
HIP 33971,Mon
HIP 33977,CMa
HIP 34000,Car
HIP 34017,
HIP 34045,CMa
HIP 34059,Pup
HIP 34065,
HIP 34069,
HIP 34081,Pup
HIP 34088,Gem
HIP 34101,Cam
HIP 34105,Car
HIP 34182,Gem
HIP 34234,Mon
HIP 34248,CMa
HIP 34301,CMa
HIP 34339,Pup
HIP 34360,CMa
HIP 34413,CMa
HIP 34440,Gem
HIP 34444,CMa
HIP 34473,Vol
HIP 34481,Vol
HIP 34495,Pup
HIP 34561,CMa
HIP 34572,Lyn
HIP 34579,CMa
HIP 34622,Mon
HIP 34670,
HIP 34693,Gem
HIP 34722,Gem
HIP 34724,Mon
HIP 34752,Aur
HIP 34769,Mon
HIP 34778,Aur
HIP 34798,CMa
HIP 34802,Pup
HIP 34814,CMa
HIP 34817,Pup
HIP 34819,Gem
HIP 34834,Pup
HIP 34899,Pup
HIP 34909,Gem
HIP 34912,Lyn
HIP 34922,Pup
HIP 34924,CMa
HIP 34929,Car
HIP 34937,CMa
HIP 34981,CMa
HIP 34995,Gem
HIP 35025,Gem
HIP 35029,Pup
HIP 35037,CMa
HIP 35080,Mon
HIP 35136,
HIP 35146,Lyn
HIP 35152,Gem
HIP 35180,
HIP 35210,CMa
HIP 35228,Vol
HIP 35264,Pup
HIP 35296,
HIP 35341,Aur
HIP 35347,Pup
HIP 35350,Gem
HIP 35363,Pup
HIP 35393,Pup
HIP 35406,Pup
HIP 35412,CMa
HIP 35415,CMa
HIP 35461,CMa
HIP 35487,CMa
HIP 35488,
HIP 35550,Gem
HIP 35611,CMa
HIP 35626,CMa
HIP 35690,Cam
HIP 35699,Gem
HIP 35710,Aur
HIP 35735,Cam
HIP 35746,CMa
HIP 35783,Lyn
HIP 35785,Lyn
HIP 35795,CMa
HIP 35842,Gem
HIP 35846,Gem
HIP 35904,CMa
HIP 35907,Aur
HIP 35933,Gem
HIP 35941,Gem
HIP 35951,CMa
HIP 35960,Pup
HIP 35987,CMi
HIP 36039,Men
HIP 36041,CMi
HIP 36046,Gem
HIP 36145,Lyn
HIP 36156,Gem
HIP 36168,CMa
HIP 36186,CMa
HIP 36188,CMi
HIP 36208,
HIP 36210,
HIP 36238,Gem
HIP 36265,CMi
HIP 36284,CMi
HIP 36363,Pup
HIP 36366,Gem
HIP 36377,Pup
HIP 36393,Gem
HIP 36399,
HIP 36425,CMi
HIP 36429,Gem
HIP 36439,Lyn
HIP 36515,
HIP 36521,Mon
HIP 36547,Cam
HIP 36608,Pup
HIP 36640,
HIP 36641,CMi
HIP 36682,Car
HIP 36723,CMi
HIP 36728,Pup
HIP 36746,CMi
HIP 36760,Gem
HIP 36773,Pup
HIP 36778,Pup
HIP 36795,
HIP 36812,CMi
HIP 36817,Pup
HIP 36850,Gem
HIP 36917,Pup
HIP 36942,Car
HIP 36962,Gem
HIP 36981,Pup
HIP 36992,Pup
HIP 37036,Pup
HIP 37043,Pup
HIP 37074,Gem
HIP 37088,Mon
HIP 37096,Pup
HIP 37173,Pup
HIP 37174,Pup
HIP 37204,Gem
HIP 37223,Pup
HIP 37229,Pup
HIP 37248,Car
HIP 37265,Gem
HIP 37279,CMi
HIP 37284,
HIP 37297,Pup
HIP 37300,Gem
HIP 37322,Pup
HIP 37329,Pup
HIP 37345,Pup
HIP 37379,Pup
HIP 37391,Cep
HIP 37406,Lyn
HIP 37415,Pup
HIP 37447,Mon
HIP 37504,Vol
HIP 37521,Gem
HIP 37606,
HIP 37609,Lyn
HIP 37629,Gem
HIP 37648,Pup
HIP 37675,Pup
HIP 37677,Pup
HIP 37704,Gem
HIP 37705,CMi
HIP 37740,Gem
HIP 37751,Pup
HIP 37811,Gem
HIP 37819,Pup
HIP 37826,Gem
HIP 37843,Pup
HIP 37853,Pup
HIP 37891,Pup
HIP 37908,Gem
HIP 37915,Pup
HIP 37921,CMi
HIP 37934,Cam
HIP 37946,Lyn
HIP 37949,Cam
HIP 37966,Car
HIP 37982,Pup
HIP 38016,Gem
HIP 38031,Pup
HIP 38041,
HIP 38048,Pup
HIP 38070,Pup
HIP 38074,Pup
HIP 38089,Pup
HIP 38106,Gem
HIP 38146,Pup
HIP 38159,Pup
HIP 38164,Pup
HIP 38167,Pup
HIP 38170,Pup
HIP 38211,Pup
HIP 38228,Gem
HIP 38370,Pup
HIP 38372,Pup
HIP 38373,CMi
HIP 38382,Pup
HIP 38406,CMi
HIP 38414,Pup
HIP 38423,Pup
HIP 38427,Pup
HIP 38438,Car
HIP 38455,Pup
HIP 38518,Pup
HIP 38538,Gem
HIP 38580,Pup
HIP 38623,Lyn
HIP 38639,Lyn
HIP 38722,Gem
HIP 38723,Lyn
HIP 38737,Pup
HIP 38784,
HIP 38792,Pup
HIP 38827,Car
HIP 38835,Pup
HIP 38848,Cnc
HIP 38872,Pup
HIP 38900,Cam
HIP 38901,Pup
HIP 38908,
HIP 38917,Pup
HIP 38945,CMi
HIP 38957,Pup
HIP 38962,CMi
HIP 38981,
HIP 38987,CMi
HIP 38994,Car
HIP 39023,Pup
HIP 39070,Car
HIP 39079,Mon
HIP 39084,Pup
HIP 39138,Car
HIP 39153,Pup
HIP 39157,
HIP 39172,Mon
HIP 39177,Cnc
HIP 39191,Cnc
HIP 39211,Mon
HIP 39225,Car
HIP 39236,Cnc
HIP 39261,Cam
HIP 39263,Cnc
HIP 39310,Car
HIP 39311,CMi
HIP 39329,Pup
HIP 39348,Lyn
HIP 39360,Pup
HIP 39424,Gem
HIP 39429,Pup
HIP 39487,Pup
HIP 39524,Pup
HIP 39530,Car
HIP 39567,Cnc
HIP 39584,Vel
HIP 39659,Cnc
HIP 39710,
HIP 39722,Lyn
HIP 39757,Pup
HIP 39780,Cnc
HIP 39794,Vol
HIP 39834,Pup
HIP 39847,Lyn
HIP 39863,Mon
HIP 39866,Pup
HIP 39874,Cnc
HIP 39903,Car
HIP 39906,Pup
HIP 39919,Vel
HIP 39953,Vel
HIP 39970,Vel
HIP 40007,Cnc
HIP 40015,
HIP 40023,Cnc
HIP 40035,Pup
HIP 40084,Pup
HIP 40091,Pup
HIP 40118,
HIP 40144,Pup
HIP 40155,Vel
HIP 40167,Cnc
HIP 40215,Cam
HIP 40233,Pup
HIP 40240,Cnc
HIP 40259,Pup
HIP 40274,Pup
HIP 40282,Vel
HIP 40285,Vel
HIP 40321,Pup
HIP 40326,Pup
HIP 40330,Vel
HIP 40429,Car
HIP 40474,Cam
HIP 40526,Cnc
HIP 40604,Pup
HIP 40646,Lyn
HIP 40687,
HIP 40693,
HIP 40702,Cha
HIP 40706,Pup
HIP 40766,Hya
HIP 40772,Cam
HIP 40777,Pup
HIP 40817,Vol
HIP 40834,Vol
HIP 40843,Cnc
HIP 40875,Lyn
HIP 40881,Cnc
HIP 40888,Cha
HIP 40945,Pup
HIP 41003,Vol
HIP 41037,Car
HIP 41039,Vel
HIP 41067,Pup
HIP 41075,Lyn
HIP 41107,Pup
HIP 41117,Cnc
HIP 41163,Cnc
HIP 41211,Hya
HIP 41250,Pup
HIP 41266,Car
HIP 41307,Hya
HIP 41312,Vol
HIP 41319,Cnc
HIP 41361,Pup
HIP 41375,Hya
HIP 41377,Cnc
HIP 41389,Cnc
HIP 41400,Cnc
HIP 41404,Cnc
HIP 41475,Pup
HIP 41483,Vel
HIP 41484,
HIP 41515,Pyx
HIP 41564,Hya
HIP 41574,Cnc
HIP 41578,Cnc
HIP 41616,Vel
HIP 41644,Car
HIP 41704,UMa
HIP 41726,Pyx
HIP 41782,Lyn
HIP 41816,Cnc
HIP 41822,Cnc
HIP 41882,Vel
HIP 41904,Cnc
HIP 41909,Cnc
HIP 41926,
HIP 41939,Pyx
HIP 41940,Cnc
HIP 41975,Lyn
HIP 42080,UMa
HIP 42088,Vel
HIP 42090,Lyn
HIP 42129,Car
HIP 42133,Cnc
HIP 42134,Car
HIP 42146,Hya
HIP 42172,
HIP 42177,Vel
HIP 42265,Cnc
HIP 42291,
HIP 42312,Vel
HIP 42313,Hya
HIP 42315,Vel
HIP 42333,Hya
HIP 42334,Pyx
HIP 42353,Cnc
HIP 42402,Hya
HIP 42425,Vol
HIP 42430,
HIP 42438,UMa
HIP 42446,
HIP 42459,Vel
HIP 42483,Pyx
HIP 42485,Cnc
HIP 42502,Hya
HIP 42504,Vel
HIP 42509,Hya
HIP 42515,Pyx
HIP 42516,Cnc
HIP 42523,Cnc
HIP 42527,UMa
HIP 42536,Vel
HIP 42540,Vel
HIP 42556,Cnc
HIP 42568,Car
HIP 42570,Vel
HIP 42578,Cnc
HIP 42600,Cnc
HIP 42604,Lyn
HIP 42624,Vel
HIP 42637,Cha
HIP 42662,Hya
HIP 42679,Vel
HIP 42712,Vel
HIP 42715,Vel
HIP 42726,Vel
HIP 42794,Cha
HIP 42795,Cnc
HIP 42799,Hya
HIP 42806,Cnc
HIP 42808,
HIP 42819,Car
HIP 42828,Pyx
HIP 42834,Vel
HIP 42835,Hya
HIP 42884,Vel
HIP 42911,Cnc
HIP 42913,Vel
HIP 42917,Cnc
HIP 42931,Hya
HIP 42954,Cnc
HIP 43023,Vel
HIP 43067,Hya
HIP 43082,Vel
HIP 43100,Cnc
HIP 43103,Cnc
HIP 43105,Car
HIP 43109,Hya
HIP 43114,Pyx
HIP 43121,Cnc
HIP 43215,Pyx
HIP 43234,Hya
HIP 43245,Cnc
HIP 43251,Cnc
HIP 43305,Hya
HIP 43325,Vel
HIP 43347,Vel
HIP 43354,Vel
HIP 43409,Pyx
HIP 43413,Vel
HIP 43431,Cam
HIP 43454,Cnc
HIP 43496,Hya
HIP 43531,Lyn
HIP 43575,Cnc
HIP 43584,Cnc
HIP 43587,Cnc
HIP 43644,UMa
HIP 43674,
HIP 43721,Cnc
HIP 43726,
HIP 43763,Car
HIP 43783,Car
HIP 43797,
HIP 43807,Vel
HIP 43811,Cnc
HIP 43813,Hya
HIP 43822,Hya
HIP 43825,Pyx
HIP 43834,Cnc
HIP 43851,Cnc
HIP 43878,Vel
HIP 43903,UMa
HIP 43908,Oct
HIP 43932,Cnc
HIP 43937,Car
HIP 43970,Cnc
HIP 44001,Cnc
HIP 44031,Cnc
HIP 44066,Cnc
HIP 44075,
HIP 44093,Vel
HIP 44126,Cnc
HIP 44127,UMa
HIP 44143,Car
HIP 44154,Cnc
HIP 44164,Pyx
HIP 44191,Vel
HIP 44213,Vel
HIP 44245,Vel
HIP 44248,UMa
HIP 44299,Vel
HIP 44307,Cnc
HIP 44337,Vel
HIP 44342,Cnc
HIP 44368,Vel
HIP 44382,Vol
HIP 44390,UMa
HIP 44405,Cnc
HIP 44471,UMa
HIP 44481,Lyn
HIP 44511,Vel
HIP 44512,Cnc
HIP 44599,Car
HIP 44626,Car
HIP 44659,Hya
HIP 44790,Vel
HIP 44798,Cnc
HIP 44816,Vel
HIP 44818,Cnc
HIP 44824,Pyx
HIP 44857,UMa
HIP 44874,
HIP 44883,Hya
HIP 44892,Cnc
HIP 44897,
HIP 44901,UMa
HIP 44946,Cnc
HIP 44961,Hya
HIP 44996,Vel
HIP 45001,Pyx
HIP 45033,Cnc
HIP 45038,UMa
HIP 45058,Cnc
HIP 45075,UMa
HIP 45080,Car
HIP 45085,Vel
HIP 45101,Car
HIP 45153,Cnc
HIP 45170,Cnc
HIP 45184,Hya
HIP 45189,Vel
HIP 45238,Car
HIP 45290,Lyn
HIP 45333,UMa
HIP 45336,Hya
HIP 45344,Vel
HIP 45386,Vel
HIP 45410,Cnc
HIP 45439,Vel
HIP 45448,Vel
HIP 45455,UMa
HIP 45493,UMa
HIP 45496,Car
HIP 45521,
HIP 45526,Hya
HIP 45527,Hya
HIP 45556,Car
HIP 45571,
HIP 45615,Car
HIP 45631,Vel
HIP 45675,Vel
HIP 45688,Lyn
HIP 45699,Cnc
HIP 45751,Hya
HIP 45811,Hya
HIP 45824,Hya
HIP 45836,Lyn
HIP 45856,Car
HIP 45860,Lyn
HIP 45902,Pyx
HIP 45915,UMa
HIP 45941,Vel
HIP 45999,Hya
HIP 46026,Pyx
HIP 46107,Cha
HIP 46146,Leo
HIP 46194,Vel
HIP 46221,Hya
HIP 46247,UMa
HIP 46283,Vel
HIP 46365,Hya
HIP 46371,Hya
HIP 46390,Hya
HIP 46404,
HIP 46454,Leo
HIP 46457,Leo
HIP 46471,Lyn
HIP 46509,Hya
HIP 46515,Ant
HIP 46620,Car
HIP 46651,Vel
HIP 46652,LMi
HIP 46657,Ant
HIP 46701,Vel
HIP 46733,UMa
HIP 46734,Ant
HIP 46735,LMi
HIP 46741,Car
HIP 46750,Leo
HIP 46771,Leo
HIP 46774,Leo
HIP 46776,Hya
HIP 46810,Ant
HIP 46853,UMa
HIP 46880,
HIP 46904,LMi
HIP 46928,Cha
HIP 46950,Vel
HIP 46952,LMi
HIP 46974,Car
HIP 46977,UMa
HIP 46982,Hya
HIP 47006,UMa
HIP 47013,UMa
HIP 47053,Lyn
HIP 47080,LMi
HIP 47087,
HIP 47096,Leo
HIP 47145,Vel
HIP 47175,Vel
HIP 47189,Leo
HIP 47202,
HIP 47205,Leo
HIP 47247,Leo
HIP 47249,Hya
HIP 47266,Leo
HIP 47267,Vel
HIP 47272,Vel
HIP 47300,Lyn
HIP 47310,Sex
HIP 47391,Car
HIP 47427,Hya
HIP 47431,Hya
HIP 47452,Hya
HIP 47508,Leo
HIP 47522,Hya
HIP 47550,Leo
HIP 47570,Lyn
HIP 47591,Car
HIP 47592,
HIP 47631,LMi
HIP 47654,UMa
HIP 47694,Vel
HIP 47701,Leo
HIP 47717,Vel
HIP 47723,Leo
HIP 47758,Ant
HIP 47854,Car
HIP 47893,Car
HIP 47908,Leo
HIP 47911,UMa
HIP 47956,Cha
HIP 47959,Leo
HIP 47965,UMa
HIP 47973,LMi
HIP 48002,Car
HIP 48029,Leo
HIP 48113,LMi
HIP 48218,Leo
HIP 48224,Vel
HIP 48235,
HIP 48256,LMi
HIP 48273,Sex
HIP 48319,UMa
HIP 48324,Leo
HIP 48327,Hya
HIP 48341,Sex
HIP 48356,Hya
HIP 48374,Vel
HIP 48390,Leo
HIP 48402,UMa
HIP 48414,Sex
HIP 48437,Sex
HIP 48455,Leo
HIP 48469,Vel
HIP 48527,Vel
HIP 48552,Sex
HIP 48589,Car
HIP 48615,
HIP 48643,Car
HIP 48662,Vel
HIP 48682,UMa
HIP 48711,
HIP 48742,LMi
HIP 48774,Vel
HIP 48776,Ant
HIP 48782,Car
HIP 48799,Vel
HIP 48830,Hya
HIP 48833,LMi
HIP 48883,Leo
HIP 48895,Leo
HIP 48926,Ant
HIP 48990,Sex
HIP 49029,Leo
HIP 49065,Cha
HIP 49081,LMi
HIP 49326,Cha
HIP 49329,Sex
HIP 49375,Ant
HIP 49393,Vel
HIP 49402,Hya
HIP 49477,Vel
HIP 49530,Sex
HIP 49583,Leo
HIP 49593,LMi
HIP 49610,Hya
HIP 49613,Sex
HIP 49637,Leo
HIP 49641,Sex
HIP 49642,Car
HIP 49669,Leo
HIP 49712,Vel
HIP 49751,Car
HIP 49769,
HIP 49812,Sex
HIP 49841,Hya
HIP 49865,Sex
HIP 49908,
HIP 49926,Car
HIP 49929,Leo
HIP 49934,Car
HIP 49950,Ant
HIP 50027,Sex
HIP 50070,Vel
HIP 50075,
HIP 50083,Car
HIP 50097,UMa
HIP 50099,Car
HIP 50140,Sex
HIP 50174,
HIP 50191,Vel
HIP 50218,LMi
HIP 50222,UMa
HIP 50303,LMi
HIP 50316,LMi
HIP 50319,Leo
HIP 50332,Vel
HIP 50333,Leo
HIP 50335,Leo
HIP 50371,Car
HIP 50372,UMa
HIP 50384,Leo
HIP 50389,UMa
HIP 50414,Sex
HIP 50448,UMa
HIP 50456,Ant
HIP 50505,
HIP 50555,Vel
HIP 50564,Leo
HIP 50583,Leo
HIP 50626,Car
HIP 50676,Vel
HIP 50684,Sex
HIP 50685,UMa
HIP 50755,Leo
HIP 50786,
HIP 50799,Vel
HIP 50801,UMa
HIP 50847,Car
HIP 50851,Leo
HIP 50860,LMi
HIP 50885,Sex
HIP 50921,
HIP 50933,UMa
HIP 50935,LMi
HIP 50954,Car
HIP 50970,Vel
HIP 51008,Leo
HIP 51047,LMi
HIP 51056,LMi
HIP 51069,Hya
HIP 51075,Sex
HIP 51087,Vel
HIP 51117,Sex
HIP 51135,Sex
HIP 51141,Car
HIP 51172,Ant
HIP 51192,Car
HIP 51213,Leo
HIP 51232,Car
HIP 51233,LMi
HIP 51246,Car
HIP 51248,
HIP 51265,Car
HIP 51362,Sex
HIP 51376,Ant
HIP 51401,UMa
HIP 51420,LMi
HIP 51425,Car
HIP 51437,Sex
HIP 51438,Car
HIP 51444,Vel
HIP 51451,Sex
HIP 51459,UMa
HIP 51502,
HIP 51523,
HIP 51556,LMi
HIP 51561,Vel
HIP 51576,Car
HIP 51585,Leo
HIP 51624,Leo
HIP 51635,Vel
HIP 51676,Car
HIP 51685,LMi
HIP 51718,Hya
HIP 51775,Leo
HIP 51802,Leo
HIP 51810,Car
HIP 51814,UMa
HIP 51839,Cha
HIP 51849,Car
HIP 51857,Car
HIP 51905,Hya
HIP 51912,Car
HIP 51914,LMi
HIP 51933,
HIP 51986,Vel
HIP 52004,Car
HIP 52009,Hya
HIP 52032,LMi
HIP 52043,Car
HIP 52059,Car
HIP 52085,Hya
HIP 52098,LMi
HIP 52102,Car
HIP 52123,
HIP 52139,LMi
HIP 52154,Vel
HIP 52221,Car
HIP 52308,Car
HIP 52316,Sex
HIP 52340,Cha
HIP 52353,UMa
HIP 52366,LMi
HIP 52370,Car
HIP 52401,Sex
HIP 52405,Car
HIP 52419,Car
HIP 52422,LMi
HIP 52452,Sex
HIP 52457,LMi
HIP 52468,Car
HIP 52478,UMa
HIP 52521,
HIP 52526,Car
HIP 52577,UMa
HIP 52584,Sex
HIP 52595,Cha
HIP 52622,Vel
HIP 52633,Cha
HIP 52638,LMi
HIP 52660,Sex
HIP 52685,UMa
HIP 52686,Leo
HIP 52689,Leo
HIP 52727,Vel
HIP 52737,Hya
HIP 52762,Car
HIP 52794,UMa
HIP 52816,Vel
HIP 52827,Car
HIP 52882,LMi
HIP 52911,Leo
HIP 52913,Sex
HIP 52943,Hya
HIP 52959,LMi
HIP 52980,Sex
HIP 53043,UMa
HIP 53064,UMa
HIP 53109,Car
HIP 53154,Car
HIP 53229,LMi
HIP 53252,Hya
HIP 53253,Car
HIP 53261,UMa
HIP 53273,Leo
HIP 53295,UMa
HIP 53355,LMi
HIP 53377,LMi
HIP 53379,Vel
HIP 53394,Car
HIP 53417,Leo
HIP 53423,Leo
HIP 53426,UMa
HIP 53449,Leo
HIP 53492,LMi
HIP 53502,Ant
HIP 53530,Vel
HIP 53589,Car
HIP 53702,Oct
HIP 53721,UMa
HIP 53740,Crt
HIP 53773,Vel
HIP 53807,Leo
HIP 53824,Leo
HIP 53838,UMa
HIP 53907,Leo
HIP 53910,UMa
HIP 53940,Vel
HIP 53954,Leo
HIP 54021,Car
HIP 54035,
HIP 54049,Leo
HIP 54060,Vel
HIP 54061,UMa
HIP 54136,UMa
HIP 54158,
HIP 54179,Car
HIP 54182,Leo
HIP 54204,Hya
HIP 54255,Hya
HIP 54266,Car
HIP 54301,Car
HIP 54336,Leo
HIP 54347,LMi
HIP 54360,Cen
HIP 54388,Leo
HIP 54400,
HIP 54461,Car
HIP 54463,Car
HIP 54487,Leo
HIP 54518,UMa
HIP 54522,UMa
HIP 54539,UMa
HIP 54540,UMa
HIP 54543,Car
HIP 54682,Crt
HIP 54708,Car
HIP 54742,Crt
HIP 54745,UMa
HIP 54751,Car
HIP 54765,UMa
HIP 54814,Cen
HIP 54849,Leo
HIP 54872,Leo
HIP 54879,Leo
HIP 54951,Leo
HIP 54974,Crt
HIP 54999,Crt
HIP 55016,Leo
HIP 55042,
HIP 55044,
HIP 55084,Leo
HIP 55106,Crt
HIP 55137,Leo
HIP 55140,Car
HIP 55147,
HIP 55174,
HIP 55203,UMa
HIP 55219,UMa
HIP 55238,Car
HIP 55249,Leo
HIP 55266,UMa
HIP 55282,Crt
HIP 55425,Cen
HIP 55434,Leo
HIP 55560,UMa
HIP 55598,Crt
HIP 55641,UMa
HIP 55642,Leo
HIP 55650,Leo
HIP 55664,
HIP 55687,Crt
HIP 55705,Crt
HIP 55765,Leo
HIP 55779,
HIP 55791,Leo
HIP 55795,Crt
HIP 55846,Leo
HIP 55863,Cen
HIP 55874,Crt
HIP 55936,UMa
HIP 55945,Leo
HIP 56034,UMa
HIP 56050,Cen
HIP 56080,Leo
HIP 56109,UMa
HIP 56127,Leo
HIP 56135,UMa
HIP 56146,Leo
HIP 56148,UMa
HIP 56201,Cen
HIP 56211,Dra
HIP 56242,Leo
HIP 56243,Cen
HIP 56250,Cen
HIP 56280,Crt
HIP 56290,
HIP 56343,Hya
HIP 56445,Leo
HIP 56452,
HIP 56473,Leo
HIP 56480,Cen
HIP 56508,
HIP 56518,Cen
HIP 56561,Cen
HIP 56572,
HIP 56573,Cen
HIP 56583,Dra
HIP 56633,Crt
HIP 56647,Leo
HIP 56675,Cha
HIP 56698,Cen
HIP 56700,Cen
HIP 56702,Cen
HIP 56709,
HIP 56769,Cen
HIP 56770,UMa
HIP 56779,Vir
HIP 56789,UMa
HIP 56802,Crt
HIP 56809,
HIP 56830,
HIP 56862,Mus
HIP 56899,Crt
HIP 56922,Hya
HIP 56970,Cen
HIP 56975,Leo
HIP 56997,UMa
HIP 57001,
HIP 57029,UMa
HIP 57072,Crt
HIP 57111,Dra
HIP 57173,Crt
HIP 57175,Cen
HIP 57283,Crt
HIP 57291,
HIP 57328,Vir
HIP 57362,UMa
HIP 57363,Mus
HIP 57370,
HIP 57380,Vir
HIP 57399,UMa
HIP 57443,
HIP 57498,UMa
HIP 57507,
HIP 57512,Cen
HIP 57562,Vir
HIP 57565,Leo
HIP 57581,Mus
HIP 57613,Hya
HIP 57632,Leo
HIP 57669,Cen
HIP 57757,Vir
HIP 57803,Cen
HIP 57808,Cen
HIP 57820,
HIP 57936,Hya
HIP 57939,
HIP 58001,UMa
HIP 58002,Vir
HIP 58057,
HIP 58059,Cen
HIP 58106,
HIP 58110,Vir
HIP 58112,UMa
HIP 58159,Leo
HIP 58181,UMa
HIP 58188,Crt
HIP 58272,Hya
HIP 58345,
HIP 58484,Cha
HIP 58510,Vir
HIP 58519,Com
HIP 58520,Cha
HIP 58545,Cam
HIP 58576,
HIP 58587,Crv
HIP 58590,Vir
HIP 58661,Com
HIP 58669,
HIP 58684,UMa
HIP 58748,Cru
HIP 58758,Cru
HIP 58799,Cen
HIP 58803,
HIP 58858,Com
HIP 58867,Cru
HIP 58905,Cha
HIP 58948,Vir
HIP 58952,
HIP 58981,Vir
HIP 59072,Cru
HIP 59173,Cen
HIP 59184,Cen
HIP 59196,Cen
HIP 59199,Crv
HIP 59229,Cen
HIP 59232,Cen
HIP 59272,
HIP 59285,Vir
HIP 59309,Vir
HIP 59316,Crv
HIP 59346,Vir
HIP 59352,Com
HIP 59394,Crv
HIP 59449,Cen
HIP 59458,UMa
HIP 59468,Com
HIP 59501,Com
HIP 59504,Cam
HIP 59551,Mus
HIP 59608,Vir
HIP 59654,Cen
HIP 59676,Vir
HIP 59678,Cru
HIP 59708,CVn
HIP 59747,Cru
HIP 59767,UMi
HIP 59774,UMa
HIP 59796,Dra
HIP 59803,Crv
HIP 59811,Cen
HIP 59819,Com
HIP 59831,CVn
HIP 59847,Com
HIP 59929,Mus
HIP 60000,Cha
HIP 60009,Cru
HIP 60030,Vir
HIP 60059,Cen
HIP 60066,Com
HIP 60087,Com
HIP 60098,Com
HIP 60122,CVn
HIP 60123,Com
HIP 60128,Cru
HIP 60129,Vir
HIP 60168,
HIP 60172,Vir
HIP 60189,Crv
HIP 60202,Com
HIP 60212,UMa
HIP 60259,Cru
HIP 60260,Cru
HIP 60320,Mus
HIP 60329,Mus
HIP 60351,Com
HIP 60353,Vir
HIP 60421,Crv
HIP 60425,Crv
HIP 60449,Cen
HIP 60455,Cru
HIP 60467,CVn
HIP 60485,CVn
HIP 60514,Com
HIP 60584,UMa
HIP 60610,Cen
HIP 60644,
HIP 60646,CVn
HIP 60697,Com
HIP 60710,Cen
HIP 60718,Cru
HIP 60742,Com
HIP 60746,Com
HIP 60781,Cru
HIP 60795,UMa
HIP 60813,Vir
HIP 60823,Cen
HIP 60855,Cen
HIP 60891,Com
HIP 60904,Com
HIP 60924,Vir
HIP 60941,Com
HIP 60957,Com
HIP 60965,Crv
HIP 60978,UMa
HIP 60979,Cen
HIP 60984,Cen
